bins	Ribosomal_RNAs
Bin_0	0
Bin_1	0
Bin_10	0
Bin_11	0
Bin_12	0
Bin_13	0
Bin_14	0
Bin_15	0
Bin_16	0
Bin_17	2
Bin_18	0
Bin_19	0
Bin_2	0
Bin_20	0
Bin_21	0
Bin_22	0
Bin_23	0
Bin_24	0
Bin_25	0
Bin_26	0
Bin_27	0
Bin_28	0
Bin_29	0
Bin_3	0
Bin_30	0
Bin_31	0
Bin_32	0
Bin_33	0
Bin_34	1
Bin_35	0
Bin_36	1
Bin_37	4
Bin_38	0
Bin_39	0
Bin_4	0
Bin_40	0
Bin_41	0
Bin_42	0
Bin_43	0
Bin_44	0
Bin_45	0
Bin_46	0
Bin_47	0
Bin_48	0
Bin_49	0
Bin_5	0
Bin_50	0
Bin_51	0
Bin_52	0
Bin_53	0
Bin_54	0
Bin_55	0
Bin_56	0
Bin_57	0
Bin_58	0
Bin_59	0
Bin_6	0
Bin_60	0
Bin_61	0
Bin_62	0
Bin_63	0
Bin_64	0
Bin_65	0
Bin_66	0
Bin_67	11
Bin_68	0
Bin_7	0
Bin_8	0
Bin_9	0
