bins	Archaeal_16S_rRNA	Archaeal_23S_rRNA	Archaeal_5S_rRNA	Archaeal_5_8S_rRNA	Bacterial_16S_rRNA	Bacterial_23S_rRNA	Bacterial_5S_rRNA	Eukaryotic_28S_rRNA	Eukaryotic_5S_rRNA	Eukaryotic_5_8S_rRNA	Mitochondrial_12S_rRNA	Mitochondrial_16S_rRNA
Bin_0	0	0	0	0	0	0	0	0	0	0	0	0
Bin_1	0	0	0	0	0	0	0	0	0	0	0	0
Bin_10	0	0	0	0	0	0	0	0	0	0	0	0
Bin_11	0	0	0	0	0	0	0	0	0	0	0	0
Bin_12	0	0	0	0	0	0	0	0	0	0	0	0
Bin_13	0	0	0	0	0	0	0	0	0	0	0	0
Bin_14	0	0	0	0	0	0	0	0	0	0	0	0
Bin_15	0	0	0	0	0	0	0	0	0	0	0	0
Bin_16	0	0	0	0	0	0	0	0	0	0	0	0
Bin_17	1	1	0	0	0	0	0	0	0	0	0	0
Bin_18	0	0	0	0	0	0	0	0	0	0	0	0
Bin_19	0	0	0	0	0	0	0	0	0	0	0	0
Bin_2	0	0	0	0	0	0	0	0	0	0	0	0
Bin_20	0	0	0	0	0	0	0	0	0	0	0	0
Bin_21	0	0	0	0	0	0	0	0	0	0	0	0
Bin_22	0	0	0	0	0	0	0	0	0	0	0	0
Bin_23	0	0	0	0	0	0	0	0	0	0	0	0
Bin_24	0	0	0	0	0	0	0	0	0	0	0	0
Bin_25	0	0	0	0	0	0	0	0	0	0	0	0
Bin_26	0	0	0	0	0	0	0	0	0	0	0	0
Bin_27	0	0	0	0	0	0	0	0	0	0	0	0
Bin_28	0	0	0	0	0	0	0	0	0	0	0	0
Bin_29	0	0	0	0	0	0	0	0	0	0	0	0
Bin_3	0	0	0	0	0	0	0	0	0	0	0	0
Bin_30	0	0	0	0	0	0	0	0	0	0	0	0
Bin_31	0	0	0	0	0	0	0	0	0	0	0	0
Bin_32	0	0	0	0	0	0	0	0	0	0	0	0
Bin_33	0	0	0	0	0	0	0	0	0	0	0	0
Bin_34	1	0	0	0	0	0	0	0	0	0	0	0
Bin_35	0	0	0	0	0	0	0	0	0	0	0	0
Bin_36	0	0	0	0	0	1	0	0	0	0	0	0
Bin_37	0	0	0	0	1	3	0	0	0	0	0	0
Bin_38	0	0	0	0	0	0	0	0	0	0	0	0
Bin_39	0	0	0	0	0	0	0	0	0	0	0	0
Bin_4	0	0	0	0	0	0	0	0	0	0	0	0
Bin_40	0	0	0	0	0	0	0	0	0	0	0	0
Bin_41	0	0	0	0	0	0	0	0	0	0	0	0
Bin_42	0	0	0	0	0	0	0	0	0	0	0	0
Bin_43	0	0	0	0	0	0	0	0	0	0	0	0
Bin_44	0	0	0	0	0	0	0	0	0	0	0	0
Bin_45	0	0	0	0	0	0	0	0	0	0	0	0
Bin_46	0	0	0	0	0	0	0	0	0	0	0	0
Bin_47	0	0	0	0	0	0	0	0	0	0	0	0
Bin_48	0	0	0	0	0	0	0	0	0	0	0	0
Bin_49	0	0	0	0	0	0	0	0	0	0	0	0
Bin_5	0	0	0	0	0	0	0	0	0	0	0	0
Bin_50	0	0	0	0	0	0	0	0	0	0	0	0
Bin_51	0	0	0	0	0	0	0	0	0	0	0	0
Bin_52	0	0	0	0	0	0	0	0	0	0	0	0
Bin_53	0	0	0	0	0	0	0	0	0	0	0	0
Bin_54	0	0	0	0	0	0	0	0	0	0	0	0
Bin_55	0	0	0	0	0	0	0	0	0	0	0	0
Bin_56	0	0	0	0	0	0	0	0	0	0	0	0
Bin_57	0	0	0	0	0	0	0	0	0	0	0	0
Bin_58	0	0	0	0	0	0	0	0	0	0	0	0
Bin_59	0	0	0	0	0	0	0	0	0	0	0	0
Bin_6	0	0	0	0	0	0	0	0	0	0	0	0
Bin_60	0	0	0	0	0	0	0	0	0	0	0	0
Bin_61	0	0	0	0	0	0	0	0	0	0	0	0
Bin_62	0	0	0	0	0	0	0	0	0	0	0	0
Bin_63	0	0	0	0	0	0	0	0	0	0	0	0
Bin_64	0	0	0	0	0	0	0	0	0	0	0	0
Bin_65	0	0	0	0	0	0	0	0	0	0	0	0
Bin_66	0	0	0	0	0	0	0	0	0	0	0	0
Bin_67	1	5	0	0	3	2	0	0	0	0	0	0
Bin_68	0	0	0	0	0	0	0	0	0	0	0	0
Bin_7	0	0	0	0	0	0	0	0	0	0	0	0
Bin_8	0	0	0	0	0	0	0	0	0	0	0	0
Bin_9	0	0	0	0	0	0	0	0	0	0	0	0
