old_bin_name	new_bin_name	completion	redundancy	size_in_Mbp
Bin_36	Soil_MAG_00001	98.59	1.41	4.14
Bin_9	Soil_MAG_00002	92.96	1.41	2.94
Bin_30	Soil_MAG_00003	98.59	7.04	10.18
Bin_7	Soil_MAG_00004	97.18	9.86	6.65
Bin_40	Soil_MAG_00005	90.14	2.82	3.85
Bin_17	Soil_MAG_00006	85.92	2.82	4.23
Bin_53	Soil_MAG_00007	84.51	2.82	4.33
Bin_34	Soil_Bin_00008	98.59	19.72	8.11
Bin_22	Soil_Bin_00009	69.01	0.00	4.41
Bin_14	Soil_Bin_00010	98.59	39.44	5.03
Bin_52	Soil_Bin_00011	59.15	1.41	2.95
Bin_65	Soil_Bin_00012	50.70	1.41	3.74
Bin_16	Soil_Bin_00013	47.89	1.41	4.13
Bin_59	Soil_Bin_00014	43.66	14.08	4.76
Bin_8	Soil_Bin_00015	29.58	1.41	1.49
Bin_21	Soil_Bin_00016	22.54	1.41	2.64
Bin_26	Soil_Bin_00017	30.99	16.90	8.19
Bin_25	Soil_Bin_00018	15.49	1.41	0.99
Bin_63	Soil_Bin_00019	19.72	7.04	9.33
Bin_47	Soil_Bin_00020	9.86	0.00	0.02
Bin_35	Soil_Bin_00021	9.86	1.41	3.23
Bin_67	Soil_Bin_00022	7.04	0.00	1.13
Bin_43	Soil_Bin_00023	5.63	0.00	2.18
Bin_58	Soil_Bin_00024	4.23	1.41	2.25
Bin_4	Soil_Bin_00025	2.63	0.00	1.14
Bin_6	Soil_Bin_00026	1.41	0.00	2.58
Bin_28	Soil_Bin_00027	1.41	0.00	1.12
Bin_62	Soil_Bin_00028	1.41	0.00	0.02
Bin_51	Soil_Bin_00029	1.32	0.00	0.35
Bin_23	Soil_Bin_00030	1.32	0.00	0.34
Bin_38	Soil_Bin_00031	1.32	0.00	0.14
Bin_12	Soil_Bin_00032	0.00	0.00	0.12
Bin_49	Soil_Bin_00033	0.00	0.00	0.01
Bin_41	Soil_Bin_00034	0.00	0.00	0.17
Bin_5	Soil_Bin_00035	0.00	0.00	0.52
Bin_15	Soil_Bin_00036	0.00	0.00	0.13
Bin_18	Soil_Bin_00037	0.00	0.00	0.86
Bin_20	Soil_Bin_00038	0.00	0.00	0.02
Bin_0	Soil_Bin_00039	0.00	0.00	0.03
Bin_50	Soil_Bin_00040	0.00	0.00	0.01
Bin_19	Soil_Bin_00041	0.00	0.00	0.12
Bin_27	Soil_Bin_00042	0.00	0.00	0.23
Bin_48	Soil_Bin_00043	0.00	0.00	0.04
Bin_64	Soil_Bin_00044	0.00	0.00	0.01
Bin_24	Soil_Bin_00045	0.00	0.00	0.12
Bin_45	Soil_Bin_00046	0.00	0.00	0.02
Bin_46	Soil_Bin_00047	0.00	0.00	0.01
Bin_37	Soil_Bin_00048	0.00	0.00	0.01
Bin_57	Soil_Bin_00049	0.00	0.00	0.01
Bin_60	Soil_Bin_00050	0.00	0.00	0.01
Bin_66	Soil_Bin_00051	0.00	0.00	0.00
Bin_42	Soil_Bin_00052	0.00	0.00	0.05
Bin_10	Soil_Bin_00053	0.00	0.00	0.00
Bin_2	Soil_Bin_00054	0.00	0.00	0.02
Bin_13	Soil_Bin_00055	0.00	0.00	0.01
Bin_55	Soil_Bin_00056	0.00	0.00	0.02
Bin_61	Soil_Bin_00057	0.00	0.00	0.00
Bin_11	Soil_Bin_00058	0.00	0.00	0.00
Bin_44	Soil_Bin_00059	0.00	0.00	0.00
Bin_31	Soil_Bin_00060	0.00	0.00	0.00
Bin_39	Soil_Bin_00061	0.00	0.00	0.01
Bin_1	Soil_Bin_00062	0.00	0.00	0.00
Bin_68	Soil_Bin_00063	0.00	0.00	0.00
Bin_33	Soil_Bin_00064	0.00	0.00	0.01
Bin_56	Soil_Bin_00065	0.00	0.00	0.00
Bin_32	Soil_Bin_00066	0.00	0.00	0.01
Bin_54	Soil_Bin_00067	0.00	0.00	0.00
Bin_3	Soil_Bin_00068	54.93	70.42	2.32
Bin_29	Soil_Bin_00069	67.61	84.51	8.82
