bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Soil_Bin_00008	8110979	1217	11676	51.33696594721153	98.59154929577464	19.718309859154928	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
Soil_Bin_00009	4408151	112	58719	54.21150402093713	69.01408450704226	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	LSJC7	LSJC7 sp000302695
Soil_Bin_00010	5028852	187	45145	54.795214933974755	98.59154929577464	39.436619718309856	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
Soil_Bin_00011	2952886	105	42313	54.71663497918162	59.15492957746479	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	
Soil_Bin_00012	3737177	195	36453	55.49928503753594	50.70422535211268	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
Soil_Bin_00013	4134838	240	41670	43.06514000663841	47.88732394366197	1.408450704225352	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus atrophaeus
Soil_Bin_00014	4760427	1537	3934	44.562869277880125	43.66197183098591	14.084507042253522	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Soil_Bin_00015	1486107	1019	1409	37.949977897615355	29.577464788732396	1.408450704225352	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus siralis
Soil_Bin_00016	2643722	1579	1685	73.56393170626757	0.0	0.0	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Cellulomonadaceae	Cellulosimicrobium	
Soil_Bin_00017	8187031	4364	2019	49.52536410014878	30.985915492957748	16.901408450704224	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
Soil_Bin_00018	988992	504	1997	37.03711373241238	0.0	0.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Soil_Bin_00019	9331099	4376	2408	36.54795343573895	19.718309859154928	7.042253521126761	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Soil_Bin_00020	22682	10	2729	48.73833041828325	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
Soil_Bin_00021	3232311	481	6868	48.74058144083163	0.0	0.0	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
Soil_Bin_00022	1130810	157	14811	51.53445113521145	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	
Soil_Bin_00023	2181027	1235	1734	35.64135865917113	0.0	0.0	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
Soil_Bin_00024	2251692	191	16642	52.82902326638634	0.0	0.0							
Soil_Bin_00025	1136666	604	2000	37.92339186285755	0.0	0.0							
Soil_Bin_00026	2578032	424	10274	38.52296487426546	0.0	0.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Soil_Bin_00027	1124761	710	1522	39.80578803919924	0.0	0.0							
Soil_Bin_00028	18998	9	2471	51.33140793114032	0.0	0.0							
Soil_Bin_00029	346074	67	10392	45.977780534904916	0.0	0.0							
Soil_Bin_00030	344319	201	1579	52.373137345090505	0.0	0.0							
Soil_Bin_00031	143814	1	143814	40.4665418970368	0.0	0.0							
Soil_Bin_00032	124601	89	1241	42.12487003160844	0.0	0.0							
Soil_Bin_00033	5440	4	1327	43.91761655753903	0.0	0.0							
Soil_Bin_00034	169813	53	4275	37.72015651247981	0.0	0.0							
Soil_Bin_00035	519308	274	2004	51.83592943607398	0.0	0.0							
Soil_Bin_00036	126427	47	3800	57.4182181727964	0.0	0.0							
Soil_Bin_00037	855140	427	2079	47.34915172503488	0.0	0.0							
Soil_Bin_00038	23041	13	1873	60.01665078930171	0.0	0.0							
Soil_Bin_00039	26176	19	1375	47.12067117368292	0.0	0.0							
Soil_Bin_00040	7659	6	1196	53.91919641772712	0.0	0.0							
Soil_Bin_00041	118155	96	1160	57.25879438367779	0.0	0.0							
Soil_Bin_00042	228162	16	19184	68.37556991475398	0.0	0.0							
Soil_Bin_00043	43854	24	1622	40.242213426223785	0.0	0.0							
Soil_Bin_00044	5570	3	1834	42.46358816263114	0.0	0.0							
Soil_Bin_00045	119336	36	3588	45.733616166045124	0.0	0.0							
Soil_Bin_00046	20336	9	3113	66.27246365890205	0.0	0.0							
Soil_Bin_00047	11830	9	1323	56.1251846903957	0.0	0.0							
Soil_Bin_00048	6737	4	2030	53.2857239340093	0.0	0.0							
Soil_Bin_00049	5820	3	3150	68.14301560952329	0.0	0.0							
Soil_Bin_00050	8423	5	1617	61.88294233257835	0.0	0.0							
Soil_Bin_00051	3303	3	1108	57.55812406343542	0.0	0.0							
Soil_Bin_00052	54885	2	37125	33.805033442533436	0.0	0.0							
Soil_Bin_00053	1151	1	1151	41.26846220677672	0.0	0.0							
Soil_Bin_00054	17345	4	8904	38.607013729092834	0.0	0.0							
Soil_Bin_00055	7307	2	3684	52.69218885375525	0.0	0.0							
Soil_Bin_00056	24767	11	2455	39.550329386888535	0.0	0.0							
Soil_Bin_00057	3364	3	1062	43.51762557106082	0.0	0.0							
Soil_Bin_00058	1274	1	1274	31.39717425431711	0.0	0.0							
Soil_Bin_00059	1882	1	1882	75.82359192348565	0.0	0.0							
Soil_Bin_00060	3166	2	1652	56.2548977901171	0.0	0.0							
Soil_Bin_00061	11656	4	3554	58.560702162768564	0.0	0.0							
Soil_Bin_00062	1105	1	1105	69.0497737556561	0.0	0.0							
Soil_Bin_00063	2564	1	2564	40.79563182527301	0.0	0.0							
Soil_Bin_00064	5099	3	1401	76.71125987113973	0.0	0.0							
Soil_Bin_00065	2825	2	1817	64.41249312052835	0.0	0.0							
Soil_Bin_00066	9070	2	7069	69.51890796715095	0.0	0.0							
Soil_Bin_00067	1001	1	1001	56.043956043956044	0.0	0.0							
Soil_Bin_00068	2319343	1359	1757	41.98123604060461	54.929577464788736	70.4225352112676	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Soil_Bin_00069	8821649	1042	11755	44.74361172769944	67.6056338028169	84.50704225352112	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Soil_MAG_00001	4136802	187	51020	44.91227261054297	98.59154929577464	1.408450704225352	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Soil_MAG_00002	2936064	968	3643	69.9607912631013	92.95774647887323	1.408450704225352	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	
Soil_MAG_00003	10177869	846	15909	35.62281661819335	98.59154929577464	7.042253521126761	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Soil_MAG_00004	6648540	2577	2967	72.35640850534764	97.1830985915493	9.859154929577464	Bacteria	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	
Soil_MAG_00005	3849576	488	9729	74.67605501828822	90.14084507042253	2.816901408450704	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Cellulomonadaceae	Cellulosimicrobium	
Soil_MAG_00006	4227814	117	82772	46.00089936063454	85.91549295774648	2.816901408450704	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Soil_MAG_00007	4334521	808	12881	41.41389944698607	84.50704225352112	2.816901408450704	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
